grid_id,c_bar,c_hat,r_alignment,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,poi_cnt_life_scarcity_abs,poi_cnt_transport_scarcity_abs,poi_cnt_economy_scarcity_abs,poi_cnt_public_service_scarcity_abs,poi_cnt_life_scarcity_q,poi_cnt_transport_scarcity_q,poi_cnt_economy_scarcity_q,poi_cnt_public_service_scarcity_q,priority_abs_1,priority_abs_2,priority_q_1,priority_q_2,priority_q_1_scarcity_score,gate_r_ok,gate_weeks_ok,gate_cbar_ok,gate_scarcity_ok,is_actionable,action_tier,priority_reason
3312_46884,15636.439459385014,19636.53156154551,-4000.092102160497,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3186_46902,22061.16850711138,26136.07287230657,-4074.904365195191,13,2.0,0.0,0.0,0.0,0.96,0.485,0.45,0.505,0.040000000000000036,0.515,0.55,0.495,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3183_46902,15506.398975861375,19636.53156154551,-4130.132585684134,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3239_46940,15500.715901692707,19636.53156154551,-4135.815659852802,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3364_46982,15317.73495718149,19636.53156154551,-4318.796604364021,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3201_46924,15276.356182391826,19636.53156154551,-4360.175379153685,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3238_47003,19035.66993439503,23518.5753806508,-4482.905446255769,13,1.0,0.0,0.0,0.0,0.82,0.485,0.45,0.505,0.18000000000000005,0.515,0.55,0.495,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3164_46999,14764.954508463545,19636.53156154551,-4871.577053081968,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3238_46925,14570.809520232371,19636.53156154551,-5065.722041313138,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3402_47015,14421.67228816106,19636.53156154551,-5214.8592733844525,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3362_46978,14235.92732121394,19636.53156154551,-5400.60424033157,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3313_46887,18092.645845853367,23518.5753806508,-5425.929534797433,13,1.0,0.0,0.0,0.0,0.82,0.485,0.45,0.505,0.18000000000000005,0.515,0.55,0.495,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3245_46887,14109.29632411859,19636.53156154551,-5527.235237426921,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3222_46983,17712.23650340545,23518.5753806508,-5806.338877245351,13,1.0,0.0,0.0,0.0,0.82,0.485,0.45,0.505,0.18000000000000005,0.515,0.55,0.495,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3294_46886,17692.964511969152,23518.5753806508,-5825.610868681648,13,1.0,0.0,0.0,0.0,0.82,0.485,0.45,0.505,0.18000000000000005,0.515,0.55,0.495,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3052_46754,17638.59063251202,23518.5753806508,-5879.984748138781,13,1.0,0.0,0.0,0.0,0.82,0.485,0.45,0.505,0.18000000000000005,0.515,0.55,0.495,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3206_46983,13741.630990835336,19636.53156154551,-5894.900570710175,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3246_46910,13673.998879457133,19636.53156154551,-5962.532682088378,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3238_46934,13631.592923677885,19636.53156154551,-6004.938637867626,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3312_46887,23608.34405048077,29783.51466251312,-6175.170612032351,13,0.0,0.0,1.0,0.0,0.355,0.485,0.94,0.505,0.645,0.515,0.06000000000000005,0.495,economy,public_service,life,transport,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3149_47014,12949.015668820111,19636.53156154551,-6687.515892725398,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3244_46887,12908.529966696717,19636.53156154551,-6728.001594848796,13,0.0,0.0,0.0,0.0,0.355,0.485,0.45,0.505,0.645,0.515,0.55,0.495,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
